Exercise,Equipment,Exercise Type,Movement Type,Compound/Isolation,Muscle Group,Major Muscle,Minor Muscle,Example,Notes,Modifications,Beginner,Intermediate,Advanced,SL,GVT,Warmup,Light,Heavy
Anti-Rotation Rainbow,Landmine,Weight,Pull,Compound,Core,Core,Oblique,06.gif (https://dl.airtable.com/Q5yXXob9QM6feizhmuqD_06.gif),Keep your core tight and shoulders far from your ears.,Easier: No Weight on the Bar,0,0,1,0,0,1,1,0
Arnold Press,Dumbbells,Weight,Push,Compound,Shoulders,"Front Delt,Mid Delt","Biceps,Rear Delt",giphy-2.gif (https://dl.airtable.com/FvaObZ1SyqwBU12Wx4K7_giphy-2.gif),,,0,1,1,0,0,0,1,0
Battle Rope Wave,Rope,Plyo,Cardio,Compound,Full Body,Full Body,Arms,giphy.gif (https://dl.airtable.com/fKSySDj7QAmjcosc221r_giphy.gif),,,0,1,1,0,0,1,1,0
Bench Press,"Barbell,Dumbbells",Weight,Push,Compound,Chest,Pecs,Triceps,bench-press-gif-2.gif (https://dl.airtable.com/RsRbffLcQa5o0QcvDEag_bench-press-gif-2.gif),"Pinch Shoulders, arch back and drive feet into the group","Incline, Decline",1,1,1,1,1,0,1,1
Bicep Curl,"Barbell,Dumbbells,Cables,Machine",Weight,Pull,Isolation,Arms,Bicep,,3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif (https://dl.airtable.com/Pld28NJDTyeYLcaJV7hQ_3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif),Don't use momentum. Make sure the movement is coming from the bottom half of your arm not your shoulder moving the weight.,,1,1,1,0,1,0,1,1
Bicycle Crunch,Body Weight,Calisthenics,Cardio,Isolation,Core,Core,,200.gif (https://dl.airtable.com/Y0JUbM2YTfe8uRz0jb5w_200.gif),"The lower the ""straight"" leg is to the ground the more challenging this exercise is.","Easier: Move Slower, Legs higher in the air, Harder: Keep shoulder blades off the ground entire time""",1,1,1,0,0,1,1,0
Bounds,Body Weight,Plyo,Push,Isolation,Legs,Glutes,Outer Thigh,1ea07303-2e87-4876-8e68-8944edd42173.gif (https://dl.airtable.com/EkEnZqmyR9aAqElh54PL_1ea07303-2e87-4876-8e68-8944edd42173.gif),Do laps across the room of these.,Easier: Don't jump as high/far,1,1,1,0,0,1,1,0
Box Jumps,Box,Plyo,Push,Compound,Legs,"Quads,Glutes,Calves",Core,giphy.gif (https://dl.airtable.com/ZA0AU7h5RGyzcOQ1km9Z_giphy.gif),"Don't be afraid, you can jump higher than you think. Just try it once.","Easier: Lower the height of the box and work up, Harder: Touch the ground with your opposite hand after each jump"", Harder: Jump Faster and higher boxes""",1,1,1,0,0,0,1,0
Box Toe Touch,"Box,Platform",Cardio,Cardio,Compound,Cardio,Cardio,Legs,workoutanniversarygif9570.gif (https://dl.airtable.com/ypibIv5pTmgfMNAJgY6J_workoutanniversarygif9570.gif),,"Easier: Don't use a box, just practice toe touch without",1,1,1,0,0,1,1,0
Broad Jump,Body Weight,Plyo,Push,Compound,Cardio,Cardio,Legs,Broad-Jumps-180-Degree-Twist.gif (https://dl.airtable.com/bYHQDYRDSeyzMCrhFxoT_Broad-Jumps-180-Degree-Twist.gif),"You can do these for speed, or for distance. Speed = Cardio, Distance/Height = Plyo","Harder: Increase Speed""",1,1,1,0,0,1,1,0
Bulgarian Split Squat,"Barbell,Dumbbells",Weight,Push,Compound,Legs,Quads,"Calves,Glutes",erin_stern_demonstrates_bulgarian_split_squat.gif (https://dl.airtable.com/599OAXT5SmTKCEZDTkWA_erin_stern_demonstrates_bulgarian_split_squat.gif),Use Single 30LB Dumbbell or an Olympic Bar,,0,0,1,0,1,0,1,1
Burpee,Body Weight,Plyo,Cardio,Compound,Cardio,Full Body,,Burpee.gif (https://dl.airtable.com/xDZ3bhDQqG3erLNNwgyF_Burpee.gif),"Option with half Bosu, Pushup Optional. Make sure you don't round your back","Easier: Don't Jump after, and break down motion squat, step legs back and no pushup, Harder: Speed, Harder still: add broad jump",1,1,1,0,0,1,1,0
Butt Kickers,Body Weight,Cardio,Cardio,Compound,Cardio,Cardio,Legs,1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif (https://dl.airtable.com/pUgsc0ifRCKNfXOcvkSX_1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif),"Do it like you mean it, or this exercise is a waste of time. ","Harder: Hold weights, move faster",1,1,1,0,0,1,1,0
Cable Woodchop,Cables,Weight,Pull,Isolation,Core,Core,,horizontalwoodchop.jpg (https://dl.airtable.com/hYoL9pXYRFas3KrUmyCZ_horizontalwoodchop.jpg),The movement should originate from your core not your shoulders. The arms are just the vessel,,0,1,1,0,1,1,1,1
Calf Raise,"Dumbbells,Machine,Barbell,Platform",Weight,Push,Isolation,Legs,Calves,,Calf-Raises-Basic.jpg (https://dl.airtable.com/SQxbpgUWQSGxagLa6JaD_Calf-Raises-Basic.jpg),"Play around with foot placement, some gyms also have machines for this",,1,1,1,0,1,0,1,1
Chest Press,Machine,Weight,Push,Isolation,Chest,Pecs,Triceps,Dumbbell-Floor-Press.gif (https://dl.airtable.com/kyVvuwERkueuJQpV5fcT_Dumbbell-Floor-Press.gif),"You can do this lying on the ground, or on a bench top",,1,1,1,0,1,1,1,1
Compass Jump,Body Weight,Cardio,Cardio,Compound,Cardio,Full Body,,3b38ff89-fc79-409e-b45e-ae6a47d1ca17.gif (https://dl.airtable.com/DVWMKACWQ2S1D1AIo75L_3b38ff89-fc79-409e-b45e-ae6a47d1ca17.gif),These can also be done with both feet on the ground.,"Easier: Both feet on the ground, or stepping instead of jumping",1,1,1,0,0,1,1,0
Crab Crawl,Body Weight,Calisthenics,Cardio,Compound,Full Body,Full Body,,0d08fe37-5714-486b-a786-fea0f0cfbea7.gif (https://dl.airtable.com/ATjCdKZ9QialuVzd072J_0d08fe37-5714-486b-a786-fea0f0cfbea7.gif),,,1,1,1,0,0,1,1,0
Curtsey Lunges,"Dumbbells,Barbell",Weight,Push,Compound,Legs,Quads,"Inner Thigh,Calves",curtsy_lunge_barbell.gif (https://dl.airtable.com/qInmxz6RmTISdbvfQxUQ_curtsy_lunge_barbell.gif),,,0,0,1,0,0,1,1,1
Deadbug,Body Weight,Calisthenics,Pull,Compound,Core,Core,,exAX6p.gif (https://dl.airtable.com/Vwxt6KjRW62PrDrpTDSx_exAX6p.gif),Really good if you have lower back pain and want to do an ab workout,,1,1,1,0,0,1,1,0
Deadlift,"Barbell,Dumbbells",Weight,Pull,Compound,"Full Body,Back,Legs","Mid Back,Lower Back,Hamstrings","Forearms,Traps,Lats",deadlift-gif-side.gif (https://dl.airtable.com/AVIUvzsDQIKF2Ab9zoWQ_deadlift-gif-side.gif),Form is absolutely VITAL,Dumbbells & Single Leg Variations available,1,1,1,1,1,1,1,1
Deficit Squat,"Platform,Dumbbells,Kettlebells",Weight,Push,Compound,Legs,Quads,Glutes,dumbell-squat-from-deficit-front-view.png (https://dl.airtable.com/Je3QynAQXy8fNetseCA8_dumbell-squat-from-deficit-front-view.png),,,0,1,1,1,1,1,1,1
Donkey Kick,"Dumbbells,Band,Body Weight,Smith Machine,Cabless",Weight,Push,Isolation,Legs,Glutes,,"_KneelingGluteKickBackSelf2_1_10.gif (https://dl.airtable.com/I8w2TckURdenkD5E9hXl__KneelingGluteKickBackSelf2_1_10.gif),kickbacks_donkey_kicks_on_the_smith_machine_ifbb_bikini_pro_training_glutes.gif (https://dl.airtable.com/Od3Fpm51SjuPFoNp6QNh_kickbacks_donkey_kicks_on_the_smith_machine_ifbb_bikini_pro_training_glutes.gif)",,"Easier: Don't use weights, Harder: Use heavy weights""",0,1,1,0,1,0,1,1
Fire Hydrant,"Band,Body Weight",Calisthenics,Push,Isolation,Legs,Glutes,Outer Thigh,Jen-Selters-Fire-Hydrant.gif (https://dl.airtable.com/MEMCDbjRam2VygRIDV5S_Jen-Selters-Fire-Hydrant.gif),,Harder: Place a weight behind your kneecap,1,1,1,0,0,1,1,0
Flutter Kick,Body Weight,Calisthenics,Cardio,Isolation,Core,Core,,Flutter-Kicks.gif (https://dl.airtable.com/rsRW7e2JQMSscISPxOwm_Flutter-Kicks.gif),Her neck looks like its undergoing some serious strain. Feel free to leave yours on the ground.,,1,1,1,0,0,0,1,0
Frogger,Body Weight,Plyo,Cardio,Compound,Full Body,Full Body,,831b594cc2767b2f_Frogger.gif (https://dl.airtable.com/LqlhafK8SdbDLhssMfVG_831b594cc2767b2f_Frogger.gif),,"Easier: Step Back instead of jumping back, Harder: Burpee",1,1,1,0,0,1,1,0
Front-Load Squat,Barbell,Weight,Push,Compound,Legs,Quads,"Glutes,Core",front.gif (https://dl.airtable.com/u2Z55mWSQ1eZWji9mbPI_front.gif),Bar + 35LB,,0,1,1,1,1,0,1,1
Glute Bridge,"Bodyweight,Barbell,Plate",Weight,Push,Isolation,Legs,Glutes,,a562d6f5-888c-4b4a-a274-f969c3a8557d.gif (https://dl.airtable.com/KNCrgmAZTKyppbcj7oTC_a562d6f5-888c-4b4a-a274-f969c3a8557d.gif),"If using weights, place in hip crease",,0,1,1,0,1,0,1,1
Glute Bridge March,"Band,Platform,Body Weight",Calisthenics,Pull,Isolation,Legs,Glutes,Hamstrings,7346ca6c-b218-4a33-8fc7-f522df243390.gif (https://dl.airtable.com/CEVQMLbKSouX9GjRVXpR_7346ca6c-b218-4a33-8fc7-f522df243390.gif),,,0,1,1,0,0,0,1,0
Glute Kickback,Cables,Weight,Pull,Isolation,Legs,Glutes,Quads,400x400_Wall_Pushup_Variations_One_Legged_Kickback_On_Cable_Machine.gif (https://dl.airtable.com/p6vuYylWQJlwVCoDcHNM_400x400_Wall_Pushup_Variations_One_Legged_Kickback_On_Cable_Machine.gif),,,0,1,1,0,1,1,1,1
Goblet Squat,"Kettlebells,Dumbbells",Weight,Push,Compound,Legs,"Quads,Glutes",Core,depositphotos_127641230-stock-photo-kettlebell-goblet-squat.jpg (https://dl.airtable.com/GhZXa41TlGnE4DjPPmWA_depositphotos_127641230-stock-photo-kettlebell-goblet-squat.jpg),,,1,1,1,1,1,1,1,1
Halo,"Kettlebells,Dumbbells",Weight,Cardio,Compound,Shoulders,"Front Delt,Mid Delt,Rear Delt","Triceps,Biceps",ebe25b12-cc24-4b29-8d98-9566007ac4a8.gif (https://dl.airtable.com/XfsU9SRQoqRDq99IUeA2_ebe25b12-cc24-4b29-8d98-9566007ac4a8.gif),,,1,1,1,0,0,1,1,0
Hamstring Curl,"Bosu Ball,Machine",Weight,Pull,Isolation,Legs,Hamstrings,,bb_stability-ball_hamstring-roll-out.gif (https://dl.airtable.com/8VWf6OoQbSUCFOHhN9Ne_bb_stability-ball_hamstring-roll-out.gif),,,1,1,1,0,1,1,1,1
Heart Pump,"Kettlebells,Dumbbells",Weight,Push,Compound,Full Body,Full Body,,eac68ec3-15dc-4a6a-806f-aa7572f394b0.gif (https://dl.airtable.com/rTMlSufGTWmbykC4De4Y_eac68ec3-15dc-4a6a-806f-aa7572f394b0.gif),,,1,1,1,0,0,1,1,1
High Knees,Body Weight,Cardio,Cardio,Compound,Full Body,Full Body,,highkneerun-1457044203.gif (https://dl.airtable.com/J9KgeDiSS6CcpoXXCu6v_highkneerun-1457044203.gif),"My coach always says, your high knees tells a lot about your dedication. Do yours like the guy in the gif. Get your knees up or don't bother!",Easier: Running on the spot,1,1,1,0,0,1,1,0
Leg Press,Machine,Weight,Push,Compound,Legs,"Quads,Glutes",Calves,tenor-2.gif (https://dl.airtable.com/Q8LJ1lfRTe828dSaKqaq_tenor-2.gif),,,1,1,1,1,1,1,1,1
Jacknife,Bosu Ball,Weight,Pull,Isolation,Core,Core,,Jacknife.gif (https://dl.airtable.com/rxwquqYqSvyYWckjCCI6_Jacknife.gif),,,1,1,1,0,0,1,1,0
Jump Lunges,Body Weight,Plyo,Cardio,Compound,Cardio,Cardio,"Quads,Glutes",6405bfbb-585f-45e8-8834-0c5145f546f6.gif (https://dl.airtable.com/Ba9XRSpLRIK2a7mnAcxp_6405bfbb-585f-45e8-8834-0c5145f546f6.gif),,"Easier: Split Jump, so don't go all the way down into a lunge. Or alternate between regular lunges and lunge jumps",1,1,1,0,0,1,1,0
Jump Rope,Jump Rope,Cardio,Cardio,Compound,Cardio,Full Body,,Sprint-2.gif (https://dl.airtable.com/vMYowb6TRJ6PeXp23MvX_Sprint-2.gif),,Harder: Single Leg,1,1,1,0,0,1,1,0
Jumping Jack Push Press,Medicine Ball,Plyo,Cardio,Compound,Cardio,Full Body,,workoutanniversarygif05570.gif (https://dl.airtable.com/oZVQcwVARtqxWSC7tyFu_workoutanniversarygif05570.gif),,,1,1,1,0,0,1,1,0
Jumping Jacks,Body Weight,Cardio,Cardio,Compound,Cardio,Full Body,,jumping-jacks-gif-11.gif (https://dl.airtable.com/4EdvWh9Tre1EKZ9BH9LA_jumping-jacks-gif-11.gif),"Go faster than the gif lady. I chose her because she has good form, your hand should always touch at the top",Easier: Step out instead of jump,1,1,1,0,0,1,1,0
Kettlebell Swing,"Kettlebells,Dumbbells",Weight,Pull,Compound,Full Body,Full Body,Cardio,778789f4361994739ce59b8e597d00e7.gif (https://dl.airtable.com/sc9eLj4NTPSdXpxAlVxv_778789f4361994739ce59b8e597d00e7.gif),"When I do these I usually keep my hand close to my body and let my hips ""push"" the movement. If you'd like to experiment, you can use a dumbbell instead",,1,1,1,0,0,1,1,1
Knee Drive,Body Weight,Plyo,Cardio,Compound,Full Body,Full Body,,skipsgifsmall.gif (https://dl.airtable.com/zk1x1ZczQLaNOaduvTiF_skipsgifsmall.gif),,"Harder: Single-leg jump in the air after the knee drive, hold weights",1,1,1,0,0,1,1,0
L-Sit,Bodyweight,Calisthenics,Hold,Compound,Core,Core,"Arms,Mid Delt",68ddb0d2-add5-4124-ac47-7687817d377a.jpg (https://dl.airtable.com/g4PyzXffRNqwPdXd4R0j_68ddb0d2-add5-4124-ac47-7687817d377a.jpg),,,0,0,1,0,0,0,0,1
Lat Pulldown,Machine,Weight,Pull,Isolation,Back,Lats,"Biceps,Rear Delt",Traditional-Lat-Pulldown-Machine.gif (https://dl.airtable.com/74qcd40vRSISRQxVJ9AA_Traditional-Lat-Pulldown-Machine.gif),,,1,1,1,0,1,1,1,1
Lateral Band Walk,Band,Cardio,Cardio,Compound,Cardio,Outer Thigh,,_CrabWalkSelf2_1_2.gif (https://dl.airtable.com/CF41gTm6RqG9eXo4ZZn1__CrabWalkSelf2_1_2.gif),,,1,1,1,0,0,1,1,0
Leg Pull Apart,Band,Weight,Pull,Isolation,Legs,Outer Thigh,Lower Back,f240c036-c8d8-4d59-8a2b-941a438ea462.gif (https://dl.airtable.com/5BX9RPuRQsanTolgDYcg_f240c036-c8d8-4d59-8a2b-941a438ea462.gif),,,0,0,0,0,0,0,0,0
Leg Raise,Body Weight,Weight,Pull,Isolation,Core,Core,,legraise.jpg (https://dl.airtable.com/dXQ5blUQzqkbvODop0DP_legraise.jpg),Hold onto something heavy,Can be done hanging and weighted,1,1,1,0,0,0,1,1
Military Plank,Body Weight,Calisthenics,Hold,Compound,Core,Core,Shoulders,Military-Plank-Vicky.gif (https://dl.airtable.com/jKY8uPBNQCmUoiT9oehg_Military-Plank-Vicky.gif),,Easier: Do this from your knees,1,1,1,0,0,1,1,0
Monkey Jump,Body Weight,"Plyo,Cardio",Cardio,Compound,Cardio,Full Body,,d6367f97-0584-4895-b292-d7aeae1b3ad6.gif (https://dl.airtable.com/niCgrY1wSI2BNzhk9Yuc_d6367f97-0584-4895-b292-d7aeae1b3ad6.gif),,"Harder: Do a ""literally just jumping"" between your monkey jumps",1,1,1,0,0,1,1,0
Mountain Climbers,"Body Weight,Bosu Ball",Cardio,Cardio,Compound,Cardio,Full Body,Core,"mountain-climbers-gif-3.gif (https://dl.airtable.com/irHgy8wcTOaOoGUxhSxa_mountain-climbers-gif-3.gif),BOSU_Mountain_Climbers.gif (https://dl.airtable.com/7XTSRHViSDKTEcW1WqLg_BOSU_Mountain_Climbers.gif)",,"Easier: Step in, instead of running your knees",1,1,1,0,0,1,1,0
One-Arm Press,Landmine,Weight,Push,Compound,Shoulders,"Mid Delt,Front Delt","Tricep,Rear Delt",hammer-jammer.jpg (https://dl.airtable.com/T9fJeSGpT02IaFMck3iL_hammer-jammer.jpg),,,0,1,1,1,1,0,1,1
Pike to Superman,Bosu Ball,Calisthenics,Pull,Compound,Core,Core,,30-best-ab-workouts-pike-to-superman.jpg (https://dl.airtable.com/RqwAmFt5SaPkV2RGNC78_30-best-ab-workouts-pike-to-superman.jpg),,,0,1,1,0,0,1,1,0
Plank,Body Weight,Calisthenics,Hold,Compound,Core,Core,Full Body,plank.jpg (https://dl.airtable.com/oAufzPV5TLaAWqvawz9T_plank.jpg),,Easier: Go from your knees,1,1,1,0,0,1,1,0
Plank Jack,"Band,Body Weight",Cardio,Cardio,Compound,Core,Core,Full Body,3705bd36-6b31-42df-9dd1-8d4984b797dc.gif (https://dl.airtable.com/gQzMkwbOSdab50QPoMEB_3705bd36-6b31-42df-9dd1-8d4984b797dc.gif),,"Easier: Step out, instead of jumping your knees",0,1,1,0,0,1,1,0
Power Clean,Barbell,Weight,Pull,Compound,Full Body,Mid Back,"Rear Delt,Hamstrings",659aab99-a93e-45ed-8927-cff5d55e40c2.gif (https://dl.airtable.com/1XVoJJ1DTLiGDXYYYioW_659aab99-a93e-45ed-8927-cff5d55e40c2.gif),,,0,0,1,1,1,0,1,1
