Exercise,GymLevel,Equipment,ExerciseType,MovementType,Compound/Isolation,MuscleGroup,MajorMuscle,MinorMuscle,Beginner,Intermediate,Advanced,SL,GVT,MainLift
(Rings/TRX) Row / Australian Pullup,Gymless,"Rings/TRX,Barbell & Rack,Body Weight",Calisthenics,Pull,Compound,"Back,Shoulders","Mid Back,Lats",Lower Back,1,1,1,0,1,No
Anti-Rotation Rainbow,Full,Landmine,Weight,Pull,Compound,Core,Core,Obliques,0,0,1,0,0,No
Archer Pull Up / Variation,Gymless,Body Weight,Calisthenics,Pull,Compound,"Back,Shoulders","Lats,Mid Back",Biceps,0,0,1,1,1,No
Arnold Press,Basic,Dumbbells,Weight,Push,Compound,Shoulders,"Front Delt,Mid Delt","Biceps,Rear Delt",0,1,1,1,0,No
Battle Rope Wave,Full,Rope,Plyo,Cardio,Compound,Full,Full Body,Arms,0,1,1,0,0,No
Bench Press,Basic,"Barbell,Dumbbells",Weight,Push,Compound,Chest,Pec Major,"Triceps,Pec Minor",1,1,1,1,1,Yes
Bent Over Row,Basic,"Barbell,Dumbbells,Landmine",Weight,Pull,Compound,Back,"Upper Back,Mid Back","Lower Back,Biceps",1,1,1,1,1,No
Bicep Curl,Basic,"Barbell,Dumbbells,Cables,Machine",Weight,Pull,Isolation,Arms,Biceps,,1,1,1,0,1,Yes
Bicycle Crunch,Gymless,Body Weight,Calisthenics,Cardio,Isolation,Core,Core,,1,1,1,0,0,No
Bounds,Gymless,Body Weight,Plyo,Push,Isolation,Legs,Glutes,Outer Thigh,1,1,1,0,0,No
Box Jumps,Gymless,Box,Plyo,Push,Compound,Legs,"Quads,Glutes,Calves",Core,1,1,1,0,0,No
Box Toe Touch,Gymless,"Box,Platform",Plyo,Cardio,Compound,Cardio,Cardio,Legs,1,1,1,0,0,No
Broad Jump,Gymless,Body Weight,Plyo,Push,Compound,Cardio,Cardio,Legs,1,1,1,0,0,No
Bulgarian Split Squat,Basic,"Barbell,Dumbbells",Weight,Push,Compound,Legs,Quads,"Calves,Glutes",0,0,1,0,1,No
Burpee,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Full Body,,1,1,1,0,0,No
Butt Kickers,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Cardio,Legs,1,1,1,0,0,No
Cable Woodchop,Basic,Cables,Weight,Pull,Isolation,Core,Core,,0,1,1,0,1,No
Calf Raise,Basic,"Dumbbells,Machine,Barbell,Platform",Weight,Push,Isolation,Legs,Calves,,1,1,1,0,1,No
(Rings / TRX) Chest Flies,Full,TRX/Rings,Calisthenics,Pull,Isolation,Chest,Pec Minor,"Biceps,Front Delt, Pec Major",0,1,1,0,1,No
Chest Flies,Basic,"Cables,Dumbells. Band,TRX/Rings",Weight,Pull,Isolation,Chest,Pec Minor,"Biceps,Front Delt, Pec Major",1,1,1,0,1,No
Chest Press,Basic,Machine,Weight,Push,Isolation,Chest,Pec Major,"Triceps,Pec Minor",1,1,1,0,1,No
Chin Ups / Chin Up Variant,Gymless,Body Weight,Calisthenics,Pull,Compound,"Arms,Back","Lats,Biceps",,1,1,1,0,1,No
Climbing Machine,Full,Versa Climber,Cardio,Cardio,Compound,Cardio,Cardio,,0,1,1,0,0,No
Close Grip Bench Press,Basic,"Barbell,EZ Bar",Weight,Push,Compound,"Arms,Chest",Triceps,"Pec Major, Pec Minor",1,1,1,1,1,No
Close Grip Pull Downs,Basic,Machine,Weight,Pull,Compound,"Back, Arms","Biceps,Upper Back",Mid Back,0,1,1,0,1,No
Compass Jump,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Full Body,,1,1,1,0,0,No
Crab Crawl,Gymless,Body Weight,Calisthenics,Cardio,Compound,Full,Full Body,,1,1,1,0,0,No
Cross Trainer,Basic,Cross Trainer,Cardio,Cardio,Isolation,Cardio,Cardio,,1,1,1,0,1,No
Curtsey Lunges,Basic,"Dumbbells,Barbell",Weight,Push,Compound,Legs,Quads,"Inner Thigh,Calves",0,0,1,0,0,No
Cycling,Basic,Machine,Cardio,Cardio,Compound,Cardio,Cardio,"Quads,Glutes,Calves",1,1,1,0,0,No
Deadbug,Gymless,Body Weight,Calisthenics,Pull,Compound,Core,Core,,1,1,1,0,0,No
Deadlift,Basic,"Barbell,Dumbbells",Weight,Pull,Compound,"Full,Back","Mid Back,Lower Back,Hamstrings","Forearms,Traps,Lats",1,1,1,1,1,Yes
Deficit Squat,Basic,"Platform,Dumbbells,Kettlebells",Weight,Push,Compound,Legs,Quads,Glutes,0,1,1,1,1,No
Diamond Pushups,Gymless,Body Weight,Calisthenics,Push,Compound,Arms,Triceps,"Pec Major, Pec Minor",1,1,1,0,1,No
Dish,Gymless,"Body Weight,Plate",Calisthenics,Hold,Compound,Core,Core,,1,1,1,0,0,No
Donkey Kick,Basic,"Dumbbells,Band,Body Weight,Smith Machine,Cabless",Weight,Push,Isolation,Legs,Glutes,,0,1,1,0,1,No
Drag Curl,Basic,"Barbell,EZ Bar",Weight,Pull,Isolation,Arms,Biceps,,0,1,1,0,1,No
Dumbbell Tricep Extention,Basic,Dumbbells,Weight,Push,Isolation,Arms,Triceps,,1,1,1,0,1,No
Face Pulls,Basic,Cables,Weight,Pull,Isolation,Shoulders,Rear Delt,,1,1,1,0,1,No
Fire Hydrant,Gymless,"Band,Body Weight",Calisthenics,Push,Isolation,Legs,Glutes,Outer Thigh,1,1,1,0,0,No
Flutter Kick,Gymless,Body Weight,Calisthenics,Cardio,Isolation,Core,Core,,1,1,1,0,0,No
Forearm Curls,Basic,"Plates,Dumbbells,Barbell",Weight,Pull,Isolation,Arms,Forearms,,1,1,1,0,1,No
Frogger,Gymless,Body Weight,Plyo,Cardio,Compound,Full,Full Body,,1,1,1,0,0,No
Front Raise,Basic,"Barbell,Dumbbells,EZ Bar",Weight,Pull,Isolation,Shoulders,Front Delt,Mid Delt,1,1,1,0,1,No
Front-Load Squat,Basic,Barbell,Weight,Push,Compound,Legs,Quads,"Glutes,Core",0,1,1,1,1,No
Glute Bridge,Gymless,"Body Weight,Barbell,Plate",Weight,Push,Isolation,Legs,Glutes,,0,1,1,0,1,No
Glute Bridge March,Gymless,"Band,Platform,Body Weight",Calisthenics,Pull,Isolation,Legs,Glutes,Hamstrings,0,1,1,0,0,No
Glute Kickback,Basic,Cables,Weight,Pull,Isolation,Legs,Glutes,Quads,0,1,1,0,1,No
Goblet Squat,Full,"Kettlebells,Dumbbells",Weight,Push,Compound,Legs,"Quads,Glutes",Core,1,1,1,1,1,No
Halo,Full,"Kettlebells,Dumbbells",Weight,Cardio,Compound,Shoulders,"Front Delt,Mid Delt,Rear Delt","Triceps,Biceps",1,1,1,0,0,No
Hammer Curl,Basic,Dumbbells,Weight,Pull,Isolation,Arms,Biceps,,1,1,1,0,1,No
Hamstring Curl,Full,"Bosu Ball,Machine",Weight,Pull,Isolation,Legs,Hamstrings,,1,1,1,0,1,No
Handstand,Gymless,Body Weight,Calisthenics,Hold,Compound,Shoulders,"Front Delt,Mid Delt",Rear Delt,0,1,1,1,0,No
Heart Pump,Full,"Kettlebells,Dumbbells",Weight,Push,Compound,Full,Full Body,,1,1,1,0,0,No
High Knees,Gymless,Body Weight,Plyo,Cardio,Compound,Legs,"Quads,Calves",Glutes,1,1,1,0,0,No
Hip Abduction,Full,"Machine,Cables",Weight,Push,Isolation,Legs,Glutes,Outer Thigh,0,1,1,0,1,No
Hip Adduction,Full,Machine,Weight,Push,Isolation,Legs,Inner Thigh,,0,1,1,0,1,No
Incline Bench Press,Basic,"Barbell,Dumbbells",Weight,Push,Compound,Chest,Pec Minor,Pec Major,1,1,1,1,1,No
Incline Pull Ups,Gymless,Body Weight,Calisthenics,Pull,Compound,"Shoulders,Back","Rear Delt,Upper Back,Lats",Mid Back,0,1,1,0,0,No
Jacknife,Full,Bosu Ball,Weight,Pull,Isolation,Core,Core,,1,1,1,0,0,No
Jump Lunges,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Cardio,"Quads,Glutes",1,1,1,0,0,No
Jump Rope,Gymless,Jump Rope,Cardio,Cardio,Compound,Cardio,Full Body,,1,1,1,0,0,No
Jumping Jack Push Press,Full,Medicine Ball,Plyo,Cardio,Compound,Cardio,Full Body,,1,1,1,0,0,No
Jumping Jacks,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Full Body,,1,1,1,0,0,No
Kettlebell Swing,Full,"Kettlebells,Dumbbells",Weight,Pull,Compound,Full,Full Body,Cardio,1,1,1,0,0,No
Knee Drive,Gymless,Body Weight,Plyo,Cardio,Compound,Full,Full Body,,1,1,1,0,0,No
Korean Dips,Gymless,Body Weight,Calisthenics,Push,Isolation,Arms,Biceps,,0,0,1,0,0,No
L-Sit,Gymless,Body Weight,Calisthenics,Hold,Compound,Core,Core,"Arms,Mid Delt",0,0,1,0,0,No
Lat Pulldown,Basic,Machine,Weight,Pull,Isolation,Back,Lats,"Biceps,Rear Delt",1,1,1,0,1,No
Lateral Band Walk,Gymless,Band,Plyo,Cardio,Compound,Cardio,Outer Thigh,,1,1,1,0,0,No
Leg Extensions,Basic,Machine,Weight,Push,Isolation,Legs,Quads,,1,1,1,0,1,No
Leg Press,Basic,Machine,Weight,Push,Compound,Legs,"Quads,Glutes",Calves,1,1,1,1,1,No
Leg Pull Apart,Gymless,Band,Weight,Pull,Isolation,Legs,Outer Thigh,Lower Back,0,0,0,0,0,No
Leg Raise,Gymless,Body Weight,Weight,Pull,Isolation,Core,Core,,1,1,1,0,0,No
Lunges,Basic,"Barbell,Dumbbells,Body Weight","Weight,Calisthenics",Push,Compound,Legs,Quads,"Glutes,Calves",1,1,1,0,1,No
Military Plank,Gymless,Body Weight,Calisthenics,Hold,Compound,Core,Core,Shoulders,1,1,1,0,0,No
Monkey Jump,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Full Body,,1,1,1,0,0,No
Mountain Climbers,Gymless,"Body Weight,Bosu Ball",Plyo,Cardio,Compound,Cardio,Full Body,Core,1,1,1,0,0,No
One Legged Bridge Hold,Gymless,Body Weight,Calisthenics,Hold,Compound,Back,Lower Back,,1,1,1,0,1,No
One-Arm Press,Full,Landmine,Weight,Push,Compound,Shoulders,"Mid Delt,Front Delt","Triceps,Rear Delt",0,1,1,0,1,No
Pike Push Up,Gymless,Body Weight,Calisthenics,Push,Compound,Shoulders,"Front Delt,Mid Delt","Triceps,Rear Delt",1,1,1,1,1,No
Pike to Superman,Full,Bosu Ball,Calisthenics,Pull,Compound,Core,Core,,0,1,1,0,0,No
Plank,Gymless,Body Weight,Calisthenics,Hold,Compound,Core,Core,Full Body,1,1,1,0,0,No
Plank Jack,Gymless,"Band,Body Weight",Plyo,Cardio,Compound,Core,Core,Full Body,0,1,1,0,0,No
Plate Front Raise,Basic,"Plates,Dumbbells",Weight,Pull,Isolation,Shoulders,Front Delt,,0,1,1,1,1,No
Power Clean,Basic,Barbell,Weight,Pull,Compound,Full,Mid Back,"Rear Delt,Hamstrings",0,0,1,1,1,No
Preacher Curl,Basic,"Barbell,Dumbbells,EZ Bar",Weight,Pull,Isolation,Arms,Biceps,,0,1,1,0,1,No
Pseudo Planche Push Ups,Gymless,Body Weight,Calisthenics,Push,Compound,"Arms,Chest",Biceps,Pec Minor,0,0,1,0,1,No
Pull Ups / Pull Up Variant,Gymless,Body Weight,Calisthenics,Pull,Compound,"Back,Shoulders","Lats,Mid Back","Biceps,Rear Delt",1,1,1,0,1,No
Pullovers,Basic,"Dumbbells,Cable",Weight,Pull,Compound,"Chest,Back","Pec Major,Lats",Pex Minor,0,1,1,1,1,No
Push Backs,Gymless,Body Weight,Calisthenics,Push,Compound,Shoulders,Front Delt,Mid Delt,1,1,1,0,0,No
Pushup / Pushup Variation,Gymless,Body Weight,Calisthenics,Push,Compound,Chest,Pec Major,"Triceps,Pec Minor",1,1,1,1,0,No
Pushup Walk,Gymless,Band,Calisthenics,Push,Compound,Chest,Pec Major,"Triceps,Pec Minor",0,1,1,0,0,No
Rear Delt Flies,Basic,"Plates,Dumbbells,Cables",Weight,Pull,Isolation,Shoulders,Rear Delt,,1,1,1,0,1,No
Reverse Crunches,Gymless,Body Weight,Calisthenics,Pull,Isolation,"Core,Back","Core,Lower Back",,1,1,1,0,0,No
Rings/TRX Chest Fly,Full,Rings/TRX,Calisthenics,Push,Isolation,Chest,Pec Minor,Pec Major,0,0,1,0,0,No
Rings/TRX Mountain Climber,Full,Rings/TRX,Calisthenics,Cardio,Compound,Cardio,Core,"Triceps,Forearms,Quads,Hamstrings",0,1,1,0,0,No
Rings/TRX Plank,Full,Rings/TRX,Calisthenics,Hold,Compound,Core,Core,,0,1,1,0,0,No
Romanian Deadlift,Basic,"Barbell,Dumbbells",Weight,Pull,Compound,Legs,Hamstrings,"Upper Back,Mid Back,Traps",0,0,1,1,1,No
Rowing Machine,Basic,Machine,Cardio,Cardio,Compound,"Cardio,Back",Cardio,Full Body,1,1,1,0,0,No
Running/Jogging,Gymless,Body Weight,Cardio,Cardio,Compound,Cardio,Cardio,"Quads,Glutes,Calves",1,1,1,0,0,No
Russian Twist,Full,"Kettlebells,Dumbbells,Plates",Calisthenics,Pull,Compound,Core,Core,,0,1,1,0,0,No
Seated Cable Rows,Basic,Machine,Weight,Pull,Compound,Back,Mid Back,Biceps,1,1,1,0,1,No
Seated Rope Pull,Full,Machine,Cardio,Pull,Compound,Full,Full Body,Cardio,1,1,1,0,0,No
Shoulder Shrugs,Basic,"Dumbbells,Barbell,Smith Machine",Weight,Pull,Compound,Shoulders,Traps,,1,1,1,0,0,No
Shoulder/Military/Overhead Press,Basic,"Barbell,Dumbbells",Weight,Push,Compound,Shoulders,"Mid Delt,Front Delt",Rear Delt,1,1,1,1,1,Yes
Side Arm / Lateral Raise,Basic,Dumbbells,Weight,Pull,Isolation,Shoulders,Mid Delt,"Front Delt,Rear Delt",1,1,1,0,1,No
Side Lunge,Basic,"Body Weight,Barbell","Weight,Calisthenics",Push,Compound,Legs,"Quads,Glutes",Outer Thigh,0,1,1,0,1,No
Side Plank,Gymless,Body Weight,Calisthenics,Hold,Compound,Core,Core,Obliques,1,1,1,0,0,No
Side Plank with Leg Lift,Gymless,"Band,Body Weight",Calisthenics,Hold,Compound,Core,Core,Obliques,0,1,1,0,0,No
Single Arm/ Double Arm Tricep Kick-Back,Basic,Dumbbells,Weight,Push,Isolation,Arms,Triceps,,0,1,1,0,1,No
Single Arm/Barbell Clean and Press ,Full,"Kettlebells,Dumbbells,Barbell",Weight,"Push,Pull",Compound,Full,"Front Delt,Mid Delt,Mid Back,Hamstrings","Triceps,Core",0,0,1,0,1,No
Single Leg Hip Bridge,Gymless,"Body Weight,Dumbbells,Bosu Ball",Weight,Push,Isolation,Legs,Glutes,Hamstrings,0,1,1,0,0,No
Single Leg Squat / Pistol Squat,Gymless,Body Weight,Calisthenics,Push,Compound,Legs,"Quads,Glutes,Calves",,0,0,1,1,1,No
Situp and Throw,Full,Medicine Ball,Plyo,"Push,Pull",Compound,Full,Full Body,,0,1,1,0,0,No
Skaters,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Cardio,Outer Thigh,1,1,1,0,0,No
Ski Machine,Full,Ski Machine,Cardio,Cardio,Isolation,Cardio,Cardio,,0,0,1,0,0,No
Skull Crusher,Basic,"Dumbbells,EZ Bar",Weight,Pull,Isolation,Arms,Triceps,,0,1,1,0,0,No
Spiderman Pushup,Gymless,Body Weight,Calisthenics,Push,Compound,Chest,Pec Major,"Triceps,Pec Minor",0,1,1,0,0,No
Sprints,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Cardio,"Quads,Glutes,Calves",1,1,1,0,0,No
Squat,Basic,"Barbell,Dumbbells,Body Weight",Weight,Push,Compound,Legs,"Quads,Glutes","Calves,Core,Lower Back",1,1,1,1,1,Yes
Squat Jump,Gymless,Body Weight,Plyo,Push,Compound,Legs,"Quads,Glutes,Calves",Cardio,1,1,1,0,0,No
Squat to Lateral Leg Lift,Gymless,Band,Calisthenics,Push,Compound,Legs,"Quads,Glutes,Calves","Inner Thigh,Outer Thigh",0,1,1,0,0,No
Stair Climber,Full,Machine,Cardio,Cardio,Compound,Legs,"Quads,Glutes,Calves,Cardio",,1,1,1,0,0,No
Standing Glute Kickbaks,Gymless,Band,Plyo,Pull,Isolation,Legs,Glutes,,1,1,1,0,0,No
Standing Leg Lift,Basic,"Cables,Band",Plyo,Pull,Isolation,Legs,"Inner Thigh,Outer Thigh,Glutes",,0,1,1,0,0,No
Standing Obliques Crunch,Basic,Dumbbells,Weight,Pull,Isolation,Core,Obliques,Core,1,1,1,0,0,No
Star Jump,Gymless,Body Weight,Plyo,Cardio,Compound,Full,Full Body,,1,1,1,0,0,No
Step Up Lunges,Basic,"Platform,Dumbbells",Plyo,Cardio,Compound,Legs,"Quads,Glutes,Calves",,1,1,1,0,1,No
Step-Back Lunge,Basic,"Barbell,Body Weight,Dumbbells",Weight,Push,Compound,Legs,"Quads,Glutes,Calves",Core,0,0,1,1,1,No
Straightup Situp,Basic,Dumbbells,"Plyo,Weight",Pull,Compound,Full,"Full Body,Core",,0,0,1,0,0,No
Sumo Deadlift,Basic,"Barbell,Kettlebell",Weight,Pull,Compound,Legs,Hamstrings,"Upper Back,Mid Back,Traps",0,1,1,1,1,No
Sumo Squat,Basic,"Barbell,Dumbbells,Body Weight",Weight,Push,Compound,Legs,"Quads,Glutes","Inner Thigh,Outer Thigh,Calves",0,1,1,1,1,No
Superman,Gymless,Body Weight,Calisthenics,Hold,Isolation,"Core,Back","Core,Lower Back",,1,1,1,0,0,No
T-Bar Row,Full,T-Bar,Weight,Pull,Compound,Back,"Upper Back,Mid Back","Lower Back,Biceps",1,1,1,1,1,No
Thruster,Full,Landmine,Weight,Push,Compound,Legs,"Quads,Glutes",Triceps,0,1,1,1,1,No
Touchdown,Gymless,Body Weight,Plyo,Push,Compound,Cardio,Cardio,Legs,1,1,1,0,0,No
Tricep Dip / Dip Variation,Gymless,"Body Weight,Bench,Dip Bars,Barbell & Rack,Weight Belt",Calisthenics,Push,Compound,"Arms,Chest,Shoulders",Triceps,"Front Delt,Pecs",1,1,1,0,1,No
Tricep Overhead Press,Basic,Dumbbells,Weight,Push,Isolation,Arms,Triceps,,1,1,1,0,1,Yes
Tricep Pull Down,Basic,Cables,Weight,Push,Isolation,Arms,Triceps,,1,1,1,0,1,No
TRX / Ring Rear Delt Fly,Full,Rings/TRX,Calisthenics,Pull,Isolation,Shoulders,Rear Delt,"Upper Back,Traps",0,1,1,0,0,No
Tuck Jump,Gymless,Body Weight,Plyo,Cardio,Compound,Cardio,Full Body,"Quads,Glutes,Calves",1,1,1,0,0,No
Typewriter Pull Up / Variation,Gymless,Body Weight,Calisthenics,Pull,Compound,"Back,Shoulders","Lats,Mid Back","Biceps,Core",0,0,1,1,1,No
Upright Rows,Basic,"Barbell,Dumbbells,Cables,Kettlebells",Weight,Pull,Compound,"Back,Shoulders","Mid Delt,Mid Back,Traps",Upper Back,0,0,1,0,1,No
V-Pass,Full,Bosu Ball,Weight,Hold,Isolation,Core,Core,,0,0,1,0,0,No
Wall Ball,Full,Medicine Ball,Plyo,Push,Compound,Full,Full Body,,1,1,1,0,1,No
Wall Slam,Full,Medicine Ball,Plyo,Push,Compound,Core,Core,Cardio,1,1,1,0,1,No
Wall Walk,Gymless,Body Weight,Calisthenics,Push,Compound,"Full,Back","Full Body, Lats, Mid Back",Upper Back,0,0,1,0,0,No
Weighted Cable Crunch,Basic,Cables,Weight,Pull,Isolation,Core,Core,,1,1,1,1,1,No
Weighted Machine Situp,Full,"Machine,Plates,Bench",Weight,Pull,Isolation,Core,Core,,1,1,1,0,1,No
Wide Grip Cable Row,Basic,"Machine,Cables",Weight,Pull,Compound,Back,"Mid Back, Upper Back",Biceps,1,1,1,0,1,No
Wide Grip Pull Up,Gymless,Body Weight,Calisthenics,Pull,Compound,Back,"Lats,Mid Back","Biceps, Rear Delt",0,1,1,0,1,No
Hanging Leg Raises / Knee Raises,Gymless,Body Weight,Calisthenics,Pull,Compound,Core,Core,"Obliques,Forearms",1,1,1,1,1,Yes
Offset Dumbbell Squat,Basic,Dumbbells,Weight,Push,Compound,Core,Obliques,"Quads,Glutes,Calves",1,1,1,1,1,No
Side Hanging Leg Raise,Gymless,Body Weight,Calisthenics,Pull,Compound,Core,Obliques,"Core,Forearms",1,1,1,0,1,No